transaction_id,order_date,customer_id,customer_name,country,product_id,product_category,quantity,price,payment_method,order_status
T1,2025-05-27,C226,Tonya Santiago,DE,P167,Home,2,390.51,PayPal,Returned
T2,2025-03-18,C268,Stephanie Miller,FR,P25,Books,5,11.08,UPI,Returned
T3,2025-10-20,C134,Linda Rush,FR,P25,Books,4,179.66,Debit Card,Cancelled
T4,2025-07-05,C33,Ashley Anderson,FR,P96,Home,2,83.03,UPI,Cancelled
T5,2025-09-22,C78,Mary Clements,DE,P160,Home,5,346.01,PayPal,Cancelled
T6,2026-02-09,C41,Ryan Warner,AU,P192,Electronics,3,136.14,UPI,Cancelled
T7,2025-08-31,C266,Erica Coleman,FR,P176,Books,2,96.45,Debit Card,Completed
T8,2025-11-15,C78,Melissa Booth,DE,P43,Sports,5,494.43,PayPal,Cancelled
T9,2025-07-25,C199,Daniel Williams,US,P160,Sports,4,153.09,Credit Card,Returned
T10,2025-06-17,C88,Kayla Vaughn,CA,P194,Home,5,135.04,PayPal,Completed
T11,2025-08-25,C144,Carrie Terry,UK,P43,Clothing,3,37.8,UPI,Cancelled
T12,2025-11-26,C105,Tyler Hudson,FR,P23,Home,1,219.99,UPI,Completed
T13,2025-09-15,C140,Emily Thomas,DE,P14,Home,5,300.27,Credit Card,Completed
T14,2025-08-28,C123,Brandy Gutierrez,US,P88,Electronics,1,247.96,PayPal,Completed
T15,2025-08-12,C257,Teresa Martin DDS,AU,P112,Sports,4,162.29,Debit Card,Cancelled
T16,2025-10-22,C150,Samantha Rodriguez,FR,P12,Books,2,-76.15362083844012,Debit Card,Returned
T17,2026-01-12,C216,Catherine Schmidt,AU,P188,Electronics,3,489.25,PayPal,Completed
T18,2025-08-23,C78,John Hopkins,CA,P200,Home,2,106.94,UPI,Completed
T19,2025-11-23,C28,Sandra Johnson,XYZ,P137,Electronics,3,227.76,Credit Card,Returned
T20,2025-10-09,C212,Susan Berg,FR,P20,Sports,5,346.16,UPI,Completed
T21,2025-04-17,C140,Nicole Johnson,IN,P80,Home,2,-73.0572774127649,UPI,Cancelled
T22,2025-11-09,C19,Amy Banks,UK,P49,Clothing,4,309.11,PayPal,Cancelled
T23,2025-05-04,C223,Paul Scott,DE,P3,Home,5,320.46,Debit Card,Cancelled
T24,2025-04-07,C221,Kelly Curtis,AU,P4,Books,4,224.04,Debit Card,Cancelled
T25,2025-12-21,C22,Thomas Lane,DE,P88,Electronics,4,458.14,Credit Card,Cancelled
T26,2025-05-02,C190,Nancy Alvarez,UK,P66,Home,5,-18.281941369302025,Credit Card,Returned
T27,2025-07-25,C260,Jeffrey Banks,US,P129,Sports,5,91.28,Debit Card,Returned
T28,2025-10-02,C177,Ryan Greene,CA,P125,Sports,2,342.26,UPI,Returned
T29,2025-08-12,C73,Jennifer Ferguson,DE,P140,Sports,5,47.69,PayPal,Returned
T30,2025-06-14,,Corey Miller,AU,P54,Home,5,195.11,PayPal,Returned
T31,2025-11-22,C62,Mr. William Jenkins,UK,P17,Electronics,1,403.44,Debit Card,Cancelled
T32,2025-09-03,C28,Kara Clark,DE,P30,Electronics,3,28.9,UPI,Cancelled
T33,2025-11-02,C50,Melissa Chase,FR,P123,Clothing,3,66.74,Debit Card,Completed
T34,2025-12-21,C199,Melissa Moody,CA,P191,Clothing,1,178.28,UPI,Cancelled
T35,2025-06-25,C216,Amy Jackson,UK,P104,Clothing,5,377.88,PayPal,Returned
T36,2025-03-25,C249,Samantha Bryant,CA,P86,Electronics,2,150.86,Credit Card,Completed
T37,2025-04-12,C101,Dana Aguilar,DE,P189,Electronics,1,327.47,Debit Card,Cancelled
T38,2025-07-04,C29,Matthew Price,UK,P87,Books,3,20.22,Credit Card,Returned
T39,2026-02-26,C207,Cheryl Yu,IN,P123,Sports,5,469.97,Debit Card,Cancelled
T40,2025-06-07,C114,John Giles,AU,P87,Clothing,2,409.93,Debit Card,Returned
T41,2025-09-23,C31,Lisa Santos,FR,P53,Sports,2,452.22,UPI,Completed
T1,2025-07-22,C158,Marisa Bennett,US,P85,Electronics,4,129.85,Credit Card,Cancelled
T43,2025-08-27,C2,James Hill,AU,P162,Electronics,5,452.93,UPI,Completed
